geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36061020901,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0084961476977658e-08,3.3784369599971007e-12,1.2290713958988045e-08,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3665
36091061404,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.4624626600053436e-12,2.6491346405745014e-07,0.0,2.9289597836146104e-07,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3081
36085008100,1.142710515005264e-12,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9491501110372016e-08,1.754121435006454e-12,1.0379438816024573e-07,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4822
36081062900,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.248379309801657e-08,0.0,4.3831062582259134e-08,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3042
36047000200,0.0,2.0,2.0,1.0,0.0,1.1526937999798378e-13,2.9940600177071035e-08,0.0,4.421529501084159e-08,0.0,3.095382402519967e-08,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1205
36071013100,0.0,0.0,1.0,0.0,0.0,0.0,2.979207872088356e-07,1.6910410609950062e-09,1.3340129106900065e-06,0.0,1.0029583072887131e-06,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5116
36005028500,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.790425490654576e-08,0.0,5.3005643713028074e-08,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3440
36093021002,0.0,0.0,0.0,0.0,0.0,0.0,3.32883216389342e-09,0.0,3.643506264030436e-08,4.874947680010114e-12,5.12075217495336e-08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2311
36061017200,0.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0,2.6787864665221406e-08,1.8087661200078305e-12,1.9273758874001292e-08,0.0,14.0,1.0,0.0,3.0,0.0,0.0,5441
36029017502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3293127010874878e-06,0.0,6.606648915851566e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2248
36007012800,0.0,1.0,3.0,0.0,0.0,3.4848399999829513e-13,1.4220202679974808e-07,1.3721346201488982e-10,4.623849950455404e-07,0.0,3.064974154021418e-07,0.0,0.0,0.0,3.0,17.0,0.0,0.0,5100
36081049201,0.0,1.0,0.0,4.0,0.0,0.0,7.264818790712417e-08,0.0,5.3278673756368336e-08,2.0173582344993875e-11,5.273896654058998e-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2888
36119000601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7412588243710023e-08,0.0,3.063558680244073e-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2878
36073990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5170871220113568e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36029013501,0.0,1.0,1.0,0.0,0.0,0.0,1.914065125545079e-07,5.265867685500443e-11,9.82363727736877e-07,0.0,5.34065530950102e-07,0.0,1.0,0.0,1.0,2.0,0.0,0.0,7309
36027140400,0.0,0.0,2.0,0.0,0.0,0.0,5.1594678845846945e-08,5.446431989497501e-11,3.8368157847051305e-07,0.0,4.390620998867429e-07,0.0,0.0,1.0,7.0,2.0,0.0,0.0,5360
36055015200,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.416875062881825e-06,0.0,3.682222812505601e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6904
36021000402,0.0,7.0,4.0,0.0,1.0,0.0,0.0,2.9701055000309715e-14,6.909701755969187e-07,0.0,7.506795928312427e-07,0.0,5.0,1.0,4.0,0.0,0.0,0.0,5946
36085014604,0.0,16.0,4.0,2.0,0.0,0.0,0.0,3.138770720001877e-12,7.100564782262176e-08,0.0,1.621709122210781e-07,0.0,6.0,4.0,0.0,2.0,0.0,0.0,6651
36075021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39058164686305e-08,7.116849533498547e-11,7.790525987630886e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584
36103158116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4758270732752281e-07,0.0,1.472189380838337e-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1928
36103123204,0.0,0.0,0.0,0.0,0.0,6.298975302996591e-11,1.9908094127690163e-08,0.0,2.6976321451528255e-07,0.0,2.633817213538217e-07,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5845
36119011101,0.0,2.0,1.0,0.0,0.0,0.0,2.1351734331399643e-07,1.9790579499872562e-13,4.778450324676815e-07,3.122434728500636e-11,3.252539416764305e-07,0.0,0.0,1.0,2.0,2.0,0.0,0.0,6551
36047015500,0.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,5.793585373599753e-09,0.0,2.3940188044605842e-08,0.0,4.0,0.0,5.0,4.0,0.0,0.0,3466
36065025200,0.0,15.0,33.0,0.0,1.0,0.0,1.2516692661364037e-07,2.372601034000635e-11,1.0169044474004874e-06,0.0,3.975210794878469e-07,0.0,6.0,10.0,1.0,1.0,0.0,0.0,4486
36081104700,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.954626488946673e-08,0.0,2.2773375342189898e-07,0.0,0.0,1.0,0.0,3.0,0.0,0.0,7907
