geoid_o,geoid_d,pop_flows
36119009100,36119004200,24.0
36067011101,36029990000,11.0
36089490600,36089491600,26.0
36119009400,36005035000,38.0
36119014100,36119009400,32.0
36119009400,36119012101,19.0
36119008700,36119008700,5179.0
36119009100,36005038700,24.0
36119010804,36119009100,47.0
36059404400,36119009100,15.0
36119013000,36119009000,24.0
36119012303,36119009000,11.0
36119007200,36119009702,98.0
36119011102,36119008901,13.0
36065021401,36083051701,17.0
36119009702,36005030900,16.0
36119005400,36119009300,11.0
36065024400,36089491400,17.0
36119008401,36119008200,15.0
36115090000,36097950500,15.0
36083052603,36083052102,43.0
36119009500,36119009900,45.0
36119003700,36119009702,19.0
36061020000,36119009000,33.0
36119008700,36119010702,16.0
36119010801,36119010803,164.0
36061026100,36119009702,68.0
36081142900,36119009400,14.0
36119000202,36119009300,89.0
36119009400,36081071303,19.0
36027060201,36119009702,15.0
36119009100,36119010100,24.0
36115086000,36039080800,29.0
36119008200,36119005901,20.0
36119011500,36119009400,123.0
36119014806,36119008901,34.0
36089491300,36089491400,685.0
36119008700,36119002404,16.0
36119009100,36119010902,122.0
36119004600,36119009400,33.0
36087012000,36119985000,15.0
36083052101,36083051701,18.0
36081046500,36119009400,15.0
36027050203,36119009400,10.0
36119010701,36119009500,15.0
36119000701,36119009300,21.0
36119010803,36119005901,49.0
36119014901,36119009702,15.0
36081077905,36119010804,24.0
36119010803,36119007100,24.0
36115092000,36001013400,79.0
36083052102,36001001700,27.0
36119014400,36119008901,44.0
36119009500,36059980100,22.0
36119006500,36119009400,79.0
36119010803,36061029700,24.0
36005026400,36119009000,44.0
36005028800,36119010803,25.0
36119010804,36119005200,47.0
36119008700,36119003700,16.0
36119008200,36005039700,61.0
36119013202,36119010803,22.0
36089492900,36089491600,65.0
36115091000,36115092000,145.0
36083051702,36083051701,733.0
36005034400,36029990000,26.0
36119009702,36119009500,80.0
36005039300,36119008901,21.0
36119001402,36119009000,16.0
36119009000,36119005002,75.0
36005020501,36119009100,18.0
36047016300,36119985000,29.0
36119009500,36119008200,22.0
36047039500,36119009300,31.0
36119013600,36119010803,45.0
36119010000,36119009000,11.0
36089491500,36089491500,3760.0
36047039900,36119009400,34.0
36119007700,36119985000,21.0
36061009200,36119008700,11.0
36047087000,36119009000,18.0
36087011303,36119009400,14.0
36119010803,36119007800,24.0
36089490400,36089491500,14.0
36119000300,36119010804,17.0
36115086000,36115085000,88.0
36005007400,36119009300,20.0
36081030904,36119009702,17.0
36119010804,36119009300,47.0
36115092000,36115093000,159.0
36119001200,36119010803,47.0
36083051701,36083040200,16.0
36119005001,36119010803,16.0
36119000101,36119009400,14.0
36119009500,36005045102,22.0
36005028100,36119009000,28.0
36087010101,36119010803,14.0
36081061800,36119009702,19.0
36061016900,36119009000,38.0
36119009500,36119002103,22.0
36053030103,36089491500,16.0
36119009400,36119002204,19.0
36119014907,36119010803,12.0
36047031900,36119009702,27.0
36119010804,36119003000,23.0
36115092000,36083041400,26.0
36119008901,36103146202,24.0
36119006400,36119009100,19.0
36087011602,36119008901,47.0
36089492000,36089491400,138.0
36027050205,36119008901,17.0
36087011303,36119009702,14.0
36055013101,36119985000,15.0
36061019900,36119009702,43.0
36005015100,36119009300,14.0
36119003300,36119009300,15.0
36079011000,36119010804,16.0
36119010804,36005040900,23.0
36119009000,36061003100,25.0
36083052102,36001001802,27.0
36119008901,36119012700,24.0
36115090000,36113070900,15.0
36119009300,36119009400,414.0
36103158402,36119985000,31.0
36119013000,36119009500,24.0
36089492700,36089491400,98.0
36119008200,36047038700,20.0
36119007600,36119009500,20.0
36119008901,36119011500,24.0
36119001504,36119009702,32.0
36047059000,36119009300,16.0
36119010803,36119000900,24.0
36119012600,36119009702,20.0
36061021600,36119985000,22.0
36001014612,36089491400,21.0
36119014901,36119008700,15.0
36119008100,36119009000,22.0
36087010803,36119009400,12.0
36061023200,36119009702,17.0
36119010803,36005037100,24.0
36119009300,36119008000,59.0
36059521801,36115090000,14.0
36119009100,36119006500,24.0
36119009702,36061009200,16.0
36119008100,36119010803,66.0
36005028800,36119008700,50.0
36119000104,36119009300,0.0
36119009100,36061009600,24.0
36005011800,36119009300,18.0
36119009400,36119006600,19.0
36119009500,36061008200,22.0
36005038800,36119009400,18.0
36005025400,36119009400,18.0
36027060302,36119009500,36.0
36027050203,36119009000,10.0
36059519200,36119985000,13.0
36119009600,36119009500,208.0
36061008603,36119009300,18.0
36067015601,36089491400,16.0
36119008700,36119005100,16.0
36119009300,36047025500,19.0
36081063301,36119009702,22.0
36119009100,36119012101,24.0
36005027402,36119009300,21.0
36081004002,36119009400,16.0
36119008200,36119000401,20.0
36119011102,36119010804,67.0
36083051702,36083051901,22.0
36119010803,36005019900,24.0
36083051901,36115092000,16.0
36119011902,36119010803,69.0
36089491500,36089492000,92.0
36119010100,36119009400,114.0
36083051702,36115092000,44.0
36119010803,36081044601,24.0
36089491500,36065022800,15.0
36119009000,36119013102,25.0
36119010803,36061008000,49.0
36005008900,36119009400,63.0
36119001403,36119009400,49.0
36119013800,36119009300,28.0
36087010701,36119009100,26.0
36119008200,36119006802,40.0
36085020804,36119009000,11.0
36087011102,36119009000,22.0
36119009100,36081037900,24.0
36083052103,36083051702,18.0
36119008000,36119008200,198.0
36119008302,36119009100,28.0
36119008700,36061009400,50.0
36005021001,36119009000,38.0
36119009100,36119012000,24.0
36119009500,36119001102,45.0
36119006600,36119010803,94.0
36061006600,36119009300,27.0
36115092000,36115082001,26.0
36083052103,36001013602,36.0
36119009400,36119012301,38.0
36119008200,36119008404,40.0
36119009702,36059517902,16.0
36119010804,36061007300,23.0
36005037504,36119009400,27.0
36119008404,36119008901,41.0
36081138501,36119009000,16.0
36119010803,36119010803,2952.0
36119008700,36007014302,33.0
36119008901,36081071100,24.0
36119009000,36119005100,25.0
