region_index,census_tracts_geoids
378,"36027150006, 36027160003, 36027090000, 36027070101, 36027160004, 36027160005, 36027030000"
380,"36021001200, 36021001100, 36039081002, 36039081001, 36021001300, 36039081102, 36039080900, 36021000600"
381,"36001014402, 36001014401, 36039080800, 36039080100, 36039080700, 36039080600, 36021000500"
382,"36001014202, 36001002500, 36001002300, 36083052406, 36083052405, 36001001500, 36083052501, 36001001600, 36001014203, 36001001700, 36083051500, 36001002600, 36001014201, 36083052503, 36001014100, 36001002100, 36001001804, 36083052407, 36083052408, 36001002000, 36001002200, 36001001400, 36001000800, 36001014301, 36083051601, 36001000201, 36001001100, 36001014304, 36001014303, 36083051602, 36001001902, 36001001901"
384,"36091062602, 36091062505, 36091061701, 36091062408, 36091062601, 36091062001, 36091062503, 36091062509, 36093032502, 36091062508, 36091061906, 36093032000, 36091062501, 36091061904, 36091062406, 36091062410, 36091061907, 36091062409, 36091061702, 36093020102"
385,"36091060705, 36091061001, 36091061202, 36091060706, 36091061201, 36091061404, 36091061102, 36091061301, 36091060601, 36091061401, 36091061101, 36091061905, 36091060704, 36091061002, 36091061304, 36091060602, 36091061305, 36091061303, 36091061403, 36091061800"
387,"36113071000, 36113070900, 36113072002, 36113070702, 36091060501, 36113072001"
392,36031960902
393,36031960200
394,36019103800
398,"36059413001, 36059416801, 36059413002, 36059416401, 36059413300, 36059413400, 36059416701, 36059415102, 36059414501, 36059413804, 36059411500, 36059416500, 36059413803, 36059413200, 36059412100, 36059416402, 36059411700, 36059413700, 36059416900, 36059416202, 36059415402, 36059416802, 36059416702, 36059412200, 36059416600, 36059416201, 36059414502, 36059415202"
400,"36059517101, 36059517302, 36059517701, 36059518100, 36059517802, 36059517500, 36059517600, 36059517301, 36059518000, 36059517202, 36059301300, 36059517902, 36119007600, 36059517102, 36059518300, 36059518400, 36059517000, 36059517201, 36059517901, 36059517400, 36119007700, 36059517801, 36059518201"
403,"36079011900, 36079011700, 36079010100, 36079011501, 36119014909, 36079010201, 36079010400, 36079011600, 36079011801, 36079011802, 36079010300, 36119015000"
404,"36027040003, 36027110003, 36027110005, 36027110004, 36027020004, 36027020005, 36079010202"
406,"36027170000, 36027120000, 36027100000"
407,"36021001700, 36021001500, 36021001600"
409,"36021000402, 36021000300, 36021000401"
410,"36083052402, 36083052602, 36083052502, 36083052203, 36083052601, 36083052204, 36083052301"
413,"36091060902, 36091060901, 36115094000, 36115089000"
415,"36115080302, 36115080301, 36113070603, 36113070604, 36113070602, 36113070400, 36113070701"
416,"36113078000, 36115081001"
418,"36031961201, 36031961100"
419,"36031961002, 36031961001"
420,36031960901
421,36031960700
423,"36019101600, 36019100700, 36019101000, 36019103900"
424,"36019104200, 36019100600"
426,"36103124402, 36059521902"
