STATE,geoid,LOCATION,AREA_SQMI,svi
NY,36037940100,New York,1.020045913581103e-09,0.4668
NY,36037950100,New York,6.620242757827241e-09,0.2177
NY,36067001900,New York,7.151470105374712e-11,0.5771
NY,36067002000,New York,3.9895364445329044e-11,0.661
NY,36067013200,New York,1.2441576040319477e-10,0.3972
NY,36083051902,New York,1.0845082262756482e-09,0.1651
NY,36083052003,New York,1.3685480929009406e-09,0.2048
NY,36083052101,New York,5.0550953931448096e-09,0.1344
NY,36059303900,New York,9.629224748059584e-11,0.0994
NY,36059304001,New York,3.008481610149875e-11,0.0297
NY,36059304002,New York,5.347094493619109e-11,0.6359
NY,36059304100,New York,7.159572185575109e-11,0.5396
NY,36059304202,New York,8.585526659550378e-11,0.6446
NY,36059404400,New York,4.783604242487148e-11,0.047
NY,36059415401,New York,1.163690644129158e-10,0.0373
NY,36059415402,New York,1.2025811773475675e-10,0.039
NY,36089490400,New York,7.27703351188826e-09,0.1968
NY,36089490600,New York,6.570934664847738e-09,0.6828
NY,36089490900,New York,1.2713242394026858e-09,0.6625
NY,36059415500,New York,4.383276681093916e-11,0.028
NY,36059415600,New York,1.3878423030869952e-10,0.0382
NY,36059415700,New York,1.9500858752631776e-10,0.0696
NY,36013036600,New York,9.512576372827699e-09,0.4231
NY,36059416000,New York,7.439119087668107e-11,0.0118
NY,36059416100,New York,1.280480595629813e-10,0.0715
NY,36063021200,New York,8.826560292550869e-11,0.8538
NY,36063021700,New York,3.473559119802434e-10,0.7323
NY,36063022000,New York,1.3257850591330604e-10,0.5159
NY,36067003500,New York,4.461358030638151e-11,0.6695
NY,36067003602,New York,7.076768461077295e-11,0.8003
NY,36067003800,New York,3.192554213546604e-11,0.8591
NY,36067004200,New York,3.783060504245632e-11,0.9407
NY,36067004500,New York,3.935634752041924e-11,0.4199
NY,36067004600,New York,1.6354652956758838e-10,0.2687
NY,36067003601,New York,4.723195515076317e-11,0.9146
NY,36067004800,New York,5.013530975777229e-11,0.038
NY,36067004900,New York,3.712105362094629e-11,0.2373
NY,36059407000,New York,5.423639466086002e-11,0.9095
NY,36059407101,New York,4.244094265336749e-11,0.5484
NY,36059407102,New York,4.849795175533805e-11,0.5345
NY,36059407201,New York,2.151679997845839e-11,0.9122
NY,36059407301,New York,3.196144796122842e-10,0.5834
